TARGET MATERIALS (inputs),
Element,Fractional Weight,
28Ni,0.703,
24Cr,0.157,
26Fe,0.076,
22Ti,0.029,
13Al,0.006,
41Nb,0.01,
25Mn,0.006,
73Ta,0.003,
29Cu,0.01,
Final Date & Time,
null,


OVERALL OUTPUTS (isotope & activity decay contribution over all steps),
Isotope,Total Activity Decay,
ni60,0.0,16000.0,
ni61,0.0,27.0,
ni62,0.0,38.0,
ni64,0.001,43.9,
cr52,0.0,0.0,
cr54,1.47,1.67,
cr53,0.001,0.001,
fe56,0.0,0.0,
fe57,0.449,0.512,
fe58,0.0,1.46,
ti47,0.0,9.26,
ti48,4.01,6.87,
ti49,0.667,0.757,
al27,0.0,0.0,
nb93,0.0,12.4,
nb93m,0.0,0.0,
mn55,0.686,0.768,
ta181,0.002,0.002,
cu63,0.0,12.5,
cu65,0.926,1.06,
,
Total Activity Decay,8.21,


STEP BREAKDOWNS,
,
STEP 1,
INPUTS,
Beam Energy (MeV),Beam Current (µA),Start Date & Time,End Date & Time,Irradiation Time (s),Decay Time (s),
5.5,8.0,1800000.0,864000.0,
,
OUTPUTS,
Results Summary,
Total Neutron Yield (10^6 n/s),Neutron dose at 2.5 m (n/cm^2/s),Neutron field at 2.5m (µSv/h),Total Real EOB Activity (10^7 bq),Total Decay Activity (10^7 bq),
14800.000,18900.000,20400.000,14600.000,8.210,
,
Isotope Contributions,
Isotope,Energy level,Neutron Yield,
ni60,1.0,0.000,
ni60,1.5,0.000,
ni60,2.0,0.000,
ni60,2.5,0.000,
ni60,3.0,1400.000,
ni60,3.5,1760.000,
ni60,4.0,2150.000,
ni60,4.5,2570.000,
ni60,5.0,6550.000,
ni61,1.0,0.000,
ni61,1.5,0.000,
ni61,2.0,0.000,
ni61,2.5,0.000,
ni61,3.0,0.000,
ni61,3.5,0.000,
ni61,4.0,2.440,
ni61,4.5,4.640,
ni61,5.0,17.200,
ni62,1.0,0.000,
ni62,1.5,0.000,
ni62,2.0,0.000,
ni62,2.5,0.000,
ni62,3.0,0.000,
ni62,3.5,0.000,
ni62,4.0,0.000,
ni62,4.5,0.000,
ni62,5.0,34.200,
ni64,1.0,0.000,
ni64,1.5,0.000,
ni64,2.0,0.000,
ni64,2.5,0.000,
ni64,3.0,0.792,
ni64,3.5,2.460,
ni64,4.0,4.390,
ni64,4.5,7.330,
ni64,5.0,24.600,
cr52,1.0,0.000,
cr52,1.5,0.000,
cr52,2.0,0.000,
cr52,2.5,0.000,
cr52,3.0,0.000,
cr52,3.5,0.000,
cr52,4.0,0.000,
cr52,4.5,0.000,
cr52,5.0,0.000,
cr54,1.0,0.000,
cr54,1.5,0.000,
cr54,2.0,0.000,
cr54,2.5,0.286,
cr54,3.0,0.838,
cr54,3.5,1.680,
cr54,4.0,4.000,
cr54,4.5,6.320,
cr54,5.0,20.200,
cr53,1.0,0.000,
cr53,1.5,0.022,
cr53,2.0,0.360,
cr53,2.5,2.050,
cr53,3.0,4.890,
cr53,3.5,10.800,
cr53,4.0,15.700,
cr53,4.5,22.900,
cr53,5.0,68.800,
fe56,1.0,0.000,
fe56,1.5,0.000,
fe56,2.0,0.000,
fe56,2.5,0.000,
fe56,3.0,0.000,
