TARGET MATERIALS (inputs),
Element,Fractional Weight,
40Zr,0.9827,
50Sn,0.0145,
26Fe,0.0013,
24Cr,0.001,
28Ni,5.0E-4,
Final Date & Time,
null,


OVERALL OUTPUTS (isotope & activity decay contribution over all steps),
Isotope,Total Activity Decay,
zr90,0.0,0.0,
zr91,1.93,1.72,
zr92,6.57,35.0,
zr94,0.0,15.0,
zr96,0.004,19.3,
sn117,0.0,0.012,
sn118,0.0,0.0,
sn119,0.001,0.025,
sn120,0.0,0.033,
sn122,0.002,0.015,
sn124,0.003,0.004,
fe56,0.0,0.0,
fe57,0.002,0.002,
fe58,0.0,0.005,
cr52,0.0,0.0,
cr54,0.003,0.003,
cr53,0.0,0.0,
ni60,0.0,8.59,
ni61,0.0,0.002,
ni62,0.0,0.0,
ni64,0.0,0.011,
,
Total Activity Decay,8.52,


STEP BREAKDOWNS,
,
STEP 1,
INPUTS,
Beam Energy (MeV),Beam Current (µA),Start Date & Time,End Date & Time,Irradiation Time (s),Decay Time (s),
3.8,20.0,1215000.0,864000.0,
,
OUTPUTS,
Results Summary,
Total Neutron Yield (10^6 n/s),Neutron dose at 2.5 m (n/cm^2/s),Neutron field at 2.5m (µSv/h),Total Real EOB Activity (10^7 bq),Total Decay Activity (10^7 bq),
72.900,92.800,100.000,51.800,8.520,
,
Isotope Contributions,
Isotope,Energy level,Neutron Yield,
zr90,1.0,0.000,
zr90,1.5,0.000,
zr90,2.0,0.000,
zr90,2.5,0.000,
zr90,3.0,0.000,
zr90,3.5,0.000,
zr91,1.0,0.000,
zr91,1.5,0.000,
zr91,2.0,0.000,
zr91,2.5,0.000,
zr91,3.0,1.010,
zr91,3.5,13.700,
zr92,1.0,0.000,
zr92,1.5,0.000,
zr92,2.0,0.000,
zr92,2.5,0.000,
zr92,3.0,0.814,
zr92,3.5,20.300,
zr94,1.0,0.000,
zr94,1.5,0.000,
zr94,2.0,0.014,
zr94,2.5,0.709,
zr94,3.0,1.550,
zr94,3.5,22.300,
zr96,1.0,0.001,
zr96,1.5,0.001,
zr96,2.0,0.003,
zr96,2.5,0.117,
zr96,3.0,0.256,
zr96,3.5,3.850,
sn117,1.0,0.000,
sn117,1.5,0.000,
sn117,2.0,0.000,
sn117,2.5,0.000,
sn117,3.0,0.000,
sn117,3.5,0.011,
sn118,1.0,0.000,
sn118,1.5,0.000,
sn118,2.0,0.000,
sn118,2.5,0.000,
sn118,3.0,0.000,
sn118,3.5,0.000,
sn119,1.0,0.000,
sn119,1.5,0.000,
sn119,2.0,0.001,
sn119,2.5,0.001,
sn119,3.0,0.001,
sn119,3.5,0.022,
sn120,1.0,0.000,
sn120,1.5,0.000,
sn120,2.0,0.000,
sn120,2.5,0.000,
sn120,3.0,0.000,
sn120,3.5,0.030,
sn122,1.0,0.000,
sn122,1.5,0.000,
sn122,2.0,0.000,
sn122,2.5,0.001,
sn122,3.0,0.001,
sn122,3.5,0.014,
sn124,1.0,0.000,
sn124,1.5,0.001,
sn124,2.0,0.001,
sn124,2.5,0.001,
sn124,3.0,0.001,
sn124,3.5,0.018,
fe56,1.0,0.000,
fe56,1.5,0.000,
fe56,2.0,0.000,
fe56,2.5,0.000,
fe56,3.0,0.000,
fe56,3.5,0.000,
fe57,1.0,0.000,
fe57,1.5,0.000,
fe57,2.0,0.000,
fe57,2.5,0.000,
fe57,3.0,0.006,
fe57,3.5,0.035,
fe58,1.0,0.000,
fe58,1.5,0.000,
fe58,2.0,0.000,
fe58,2.5,0.000,
fe58,3.0,0.000,
fe58,3.5,0.005,
cr52,1.0,0.000,
cr52,1.5,0.000,
cr52,2.0,0.000,
cr52,2.5,0.000,
cr52,3.0,0.000,
cr52,3.5,0.000,
cr54,1.0,0.000,
cr54,1.5,0.000,
cr54,2.0,0.000,
cr54,2.5,0.005,
cr54,3.0,0.014,
cr54,3.5,0.056,
cr53,1.0,0.000,
cr53,1.5,0.001,
cr53,2.0,0.006,
cr53,2.5,0.033,
cr53,3.0,0.078,
cr53,3.5,0.303,
ni60,1.0,0.000,
ni60,1.5,0.000,
ni60,2.0,0.000,
ni60,2.5,0.000,
ni60,3.0,2.490,
ni60,3.5,5.240,
ni61,1.0,0.000,
ni61,1.5,0.000,
ni61,2.0,0.000,
ni61,2.5,0.000,
ni61,3.0,0.000,
ni61,3.5,0.002,
ni62,1.0,0.000,
ni62,1.5,0.000,
ni62,2.0,0.000,
ni62,2.5,0.000,
ni62,3.0,0.000,
ni62,3.5,0.000,
ni64,1.0,0.000,
ni64,1.5,0.000,
ni64,2.0,0.000,
ni64,2.5,0.000,
ni64,3.0,0.002,
ni64,3.5,0.009,
,
Energy Level Contributions,
Energy level,Neutron Yield,
1.0,0.001,
1.5,0.003,
2.0,0.025,
2.5,0.867,
3.0,6.22,
