TARGET MATERIALS (inputs),
Element,Fractional Weight,
40Zr,0.97327,
41Nb,0.0266,
26Fe,1.3E-4,
Final Date & Time,
null,


OVERALL OUTPUTS (isotope & activity decay contribution over all steps),
Isotope,Total Activity Decay,
zr90,0.0,0.0,
zr91,0.139,0.124,
zr92,0.647,3.44,
zr94,0.0,7.4,
zr96,0.002,7.12,
nb93,0.0,0.811,
nb93m,0.0,0.0,
fe56,0.0,0.0,
fe57,0.001,0.001,
fe58,0.0,0.001,
,
Total Activity Decay,0.788,


STEP BREAKDOWNS,
,
STEP 1,
INPUTS,
Beam Energy (MeV),Beam Current (µA),Start Date & Time,End Date & Time,Irradiation Time (s),Decay Time (s),
3.8,10.0,165299.0,864000.0,
,
OUTPUTS,
Results Summary,
Total Neutron Yield (10^6 n/s),Neutron dose at 2.5 m (n/cm^2/s),Neutron field at 2.5m (µSv/h),Total Real EOB Activity (10^7 bq),Total Decay Activity (10^7 bq),
32.700,41.600,45.000,15.900,0.788,
,
Isotope Contributions,
Isotope,Energy level,Neutron Yield,
zr90,1.0,0.000,
zr90,1.5,0.000,
zr90,2.0,0.000,
zr90,2.5,0.000,
zr90,3.0,0.000,
zr90,3.5,0.000,
zr91,1.0,0.000,
zr91,1.5,0.000,
zr91,2.0,0.000,
zr91,2.5,0.000,
zr91,3.0,0.500,
zr91,3.5,6.760,
zr92,1.0,0.000,
zr92,1.5,0.000,
zr92,2.0,0.000,
zr92,2.5,0.000,
zr92,3.0,0.403,
zr92,3.5,10.000,
zr94,1.0,0.000,
zr94,1.5,0.000,
zr94,2.0,0.007,
zr94,2.5,0.351,
zr94,3.0,0.769,
zr94,3.5,11.000,
zr96,1.0,0.001,
zr96,1.5,0.001,
zr96,2.0,0.002,
zr96,2.5,0.058,
zr96,3.0,0.127,
zr96,3.5,1.910,
nb93,1.0,0.000,
nb93,1.5,0.000,
nb93,2.0,0.000,
nb93,2.5,0.035,
nb93,3.0,0.081,
nb93,3.5,0.622,
nb93m,1.0,0.000,
nb93m,1.5,0.000,
nb93m,2.0,0.000,
nb93m,2.5,0.000,
nb93m,3.0,0.000,
nb93m,3.5,0.000,
fe56,1.0,0.000,
fe56,1.5,0.000,
fe56,2.0,0.000,
fe56,2.5,0.000,
fe56,3.0,0.000,
fe56,3.5,0.000,
fe57,1.0,0.000,
fe57,1.5,0.000,
fe57,2.0,0.000,
fe57,2.5,0.000,
fe57,3.0,0.001,
fe57,3.5,0.002,
fe58,1.0,0.000,
fe58,1.5,0.000,
fe58,2.0,0.000,
fe58,2.5,0.000,
fe58,3.0,0.000,
fe58,3.5,0.001,
,
Energy Level Contributions,
Energy level,Neutron Yield,
1.0,0.001,
1.5,0.001,
2.0,0.009,
2.5,0.444,
3.0,1.88,
3.5,30.3,
,
Transmuted Isotopes,
Target Isotopes,Transmuted Isotopes,Activity (ci),Activity Decay (ci),
zr90,nb90,0.000,0.000,0.000,
zr91,nb91m,0.156,0.139,0.124,
zr92,nb92m,1.290,0.647,3.440,
zr94,nb94m,12.200,0.000,7.400,
zr96,nb96,1.560,0.002,7.120,
nb93,mo93,0.730,0.000,0.811,
nb93m,mo93m,0.000,0.000,0.000,
fe56,co56,0.000,0.000,0.000,
fe57,co57,0.001,0.001,0.001,
fe58,co58,0.001,0.000,0.001,


